day,customer_id,customer_type,total_sales
1/1/2018,65798701081,Returning,30.80
1/1/2018,263760969753,First-time,82.80
1/1/2018,4507624326,Returning,26.00
1/1/2018,5982990732,Returning,128.16
1/1/2018,31019499545,Returning,66.00
1/1/2018,255773147161,Returning,184.00
1/1/2018,263899152409,First-time,225.02
1/1/2018,86280929305,Returning,41.61
1/1/2018,4984040460,Returning,115.14
1/1/2018,263766736921,First-time,76.48
1/1/2018,174183546905,Returning,25.20
1/1/2018,5029174988,Returning,42.90
1/1/2018,5439119116,Returning,0.00
1/1/2018,138477895705,Returning,93.64
1/1/2018,6645033484,Returning,59.55
1/1/2018,6416670860,Returning,99.50
1/1/2018,5818719308,First-time,238.64
1/1/2018,162572140569,Returning,134.90
1/1/2018,124926328857,Returning,99.00
1/1/2018,210888753177,First-time,99.00
1/1/2018,78394982425,Returning,25.84
1/1/2018,38603030553,Returning,100.90
1/1/2018,263850491929,First-time,44.90
1/1/2018,5702242572,Returning,37.52
1/1/2018,5935171532,Returning,341.19
1/1/2018,4687788300,Returning,56.81
1/1/2018,167278673945,Returning,151.92
1/1/2018,263541129241,First-time,54.00
1/1/2018,167058833433,Returning,42.65
1/1/2018,5129411916,Returning,113.00
1/1/2018,169207070745,Returning,35.50
1/1/2018,263541424153,First-time,91.00
1/1/2018,229005787161,Returning,32.20
1/1/2018,125248307225,Returning,25.66
1/1/2018,3859097734,Returning,31.20
1/1/2018,263567802393,First-time,210.00
1/1/2018,78287306777,Returning,48.83
1/1/2018,5397940620,Returning,150.16
1/1/2018,251479883801,Returning,68.10
1/1/2018,171030478873,Returning,68.10
1/1/2018,263792820249,First-time,32.73
1/1/2018,5587552012,Returning,28.41
1/1/2018,5492434764,Returning,75.96
1/1/2018,3941963526,Returning,145.92
1/1/2018,6132843660,Returning,399.80
1/1/2018,5997542796,Returning,81.51
1/1/2018,3922516102,Returning,28.41
1/1/2018,4036821126,Returning,48.74
1/1/2018,151995809817,Returning,144.40
1/2/2018,227294248985,Returning,57.00
1/2/2018,3462051462,Returning,46.70
1/2/2018,173788102681,Returning,103.26
1/2/2018,264751710233,First-time,28.00
1/2/2018,6152712076,Returning,46.10
1/2/2018,97075691545,Returning,104.79
1/2/2018,160253935641,Returning,89.32
1/2/2018,161639399449,Returning,211.90
1/2/2018,265126805529,First-time,93.25
1/2/2018,264061321241,First-time,274.50
1/2/2018,4407941190,Returning,315.72
1/2/2018,13688668185,Returning,82.50
1/2/2018,121587564569,Returning,131.70
1/2/2018,265361129497,First-time,52.60
1/2/2018,3481578118,Returning,51.30
1/2/2018,5722543244,Returning,38.00
